,season,PRRollman,Isolation,OffRebound,Cut,Postup,Misc,Transition,Spotup,Handoff,OffScreen,PRBallHandler
Anthony Tolliver,2018-19,0.113,0.0,0.0,0.041,0.0,0.056,0.144,0.538,0.0,0.056,0.0
Antonio Blakeney,2018-19,0.0,0.148,0.0,0.0,0.0,0.0,0.139,0.22,0.141,0.022,0.287
Aron Baynes,2018-19,0.201,0.0,0.218,0.195,0.068,0.13,0.051,0.123,0.0,0.0,0.0
Austin Rivers,2018-19,0.0,0.153,0.0,0.0,0.0,0.039,0.165,0.169,0.044,0.056,0.327
Avery Bradley,2018-19,0.0,0.022,0.037,0.044,0.0,0.063,0.114,0.171,0.11,0.123,0.32
Bam Adebayo,2018-19,0.212,0.018,0.141,0.245,0.072,0.137,0.118,0.048,0.0,0.0,0.0
Ben Simmons,2018-19,0.012,0.05,0.067,0.151,0.186,0.107,0.261,0.029,0.008,0.0,0.125
Billy Garrett,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.0,0.0,0.323
Bismack Biyombo,2018-19,0.312,0.0,0.186,0.29,0.0,0.117,0.069,0.0,0.0,0.0,0.0
Blake Griffin,2018-19,0.063,0.13,0.038,0.027,0.264,0.07,0.081,0.104,0.023,0.013,0.187
Boban Marjanovic,2018-19,0.12,0.0,0.177,0.171,0.297,0.089,0.063,0.07,0.0,0.0,0.0
Bobby Portis,2018-19,0.228,0.055,0.123,0.071,0.129,0.04,0.089,0.142,0.0,0.0,0.0
Bogdan Bogdanovic,2018-19,0.0,0.074,0.017,0.028,0.037,0.052,0.16,0.172,0.081,0.086,0.287
Bojan Bogdanovic,2018-19,0.01,0.066,0.015,0.067,0.047,0.038,0.199,0.156,0.066,0.218,0.118
Bonzie Colson,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.348,0.0,0.0,0.0
Bradley Beal,2018-19,0.0,0.094,0.02,0.053,0.005,0.041,0.209,0.133,0.064,0.125,0.253
Brandon Ingram,2018-19,0.0,0.142,0.021,0.053,0.09,0.03,0.188,0.13,0.037,0.046,0.255
Brandon Knight,2018-19,0.0,0.089,0.0,0.0,0.0,0.0,0.117,0.202,0.052,0.0,0.435
Brandon Sampson,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.408,0.0,0.0,0.132
Brook Lopez,2018-19,0.141,0.03,0.02,0.042,0.084,0.047,0.143,0.391,0.058,0.035,0.0
Bruce Brown,2018-19,0.0,0.039,0.049,0.117,0.0,0.065,0.216,0.317,0.026,0.0,0.158
Bruno Caboclo,2018-19,0.063,0.0,0.08,0.052,0.0,0.07,0.143,0.479,0.0,0.0,0.0
Bryn Forbes,2018-19,0.0,0.026,0.0,0.0,0.0,0.039,0.159,0.36,0.078,0.057,0.267
Buddy Hield,2018-19,0.0,0.058,0.038,0.036,0.0,0.052,0.261,0.188,0.081,0.118,0.164
CJ McCollum,2018-19,0.0,0.113,0.02,0.041,0.0,0.032,0.138,0.15,0.117,0.1,0.287
CJ Miles,2018-19,0.0,0.0,0.0,0.0,0.0,0.041,0.125,0.333,0.066,0.2,0.091
Cameron Payne,2018-19,0.0,0.1,0.0,0.0,0.0,0.052,0.143,0.243,0.076,0.0,0.459
Cameron Reynolds,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.414,0.0,0.0,0.0
Caris LeVert,2018-19,0.0,0.184,0.022,0.048,0.0,0.023,0.114,0.156,0.041,0.028,0.38
Carmelo Anthony,2018-19,0.079,0.143,0.0,0.0,0.157,0.086,0.114,0.257,0.0,0.0,0.0
Chandler Hutchison,2018-19,0.0,0.0,0.051,0.133,0.0,0.067,0.224,0.333,0.055,0.0,0.102
Chandler Parsons,2018-19,0.0,0.044,0.0,0.0,0.0,0.0,0.138,0.36,0.098,0.0,0.249
Chasson Randle,2018-19,0.0,0.066,0.0,0.069,0.0,0.066,0.156,0.292,0.059,0.035,0.24
Cheick Diallo,2018-19,0.253,0.0,0.124,0.247,0.0,0.101,0.175,0.069,0.0,0.0,0.0
Chris Paul,2018-19,0.0,0.288,0.013,0.0,0.05,0.063,0.108,0.065,0.041,0.0,0.364
Christian Wood,2018-19,0.129,0.097,0.081,0.089,0.0,0.0,0.185,0.242,0.0,0.0,0.0
Clint Capela,2018-19,0.267,0.0,0.187,0.283,0.028,0.05,0.173,0.0,0.0,0.0,0.0
Cody Zeller,2018-19,0.26,0.026,0.121,0.232,0.026,0.117,0.117,0.098,0.0,0.0,0.0
Collin Sexton,2018-19,0.0,0.119,0.026,0.024,0.0,0.048,0.167,0.145,0.054,0.017,0.397
Corey Brewer,2018-19,0.0,0.0,0.141,0.121,0.0,0.0,0.317,0.302,0.0,0.0,0.0
Cory Joseph,2018-19,0.0,0.062,0.0,0.026,0.0,0.072,0.133,0.247,0.082,0.018,0.345
Courtney Lee,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.228,0.298,0.0,0.0,0.211
Cristiano Felicio,2018-19,0.298,0.0,0.19,0.194,0.062,0.091,0.083,0.05,0.0,0.0,0.0
D'Angelo Russell,2018-19,0.0,0.108,0.011,0.015,0.011,0.037,0.113,0.117,0.055,0.031,0.499
D.J. Augustin,2018-19,0.0,0.053,0.012,0.022,0.0,0.064,0.152,0.184,0.028,0.0,0.476
D.J. Wilson,2018-19,0.22,0.0,0.095,0.108,0.0,0.066,0.144,0.292,0.039,0.0,0.0
Dairis Bertans,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.245,0.0,0.286,0.0
Damian Jones,2018-19,0.229,0.0,0.105,0.343,0.0,0.105,0.095,0.0,0.0,0.0,0.0
Damian Lillard,2018-19,0.0,0.137,0.016,0.031,0.0,0.04,0.109,0.052,0.109,0.054,0.447
Damion Lee,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.245,0.088,0.184,0.082
Damyean Dotson,2018-19,0.0,0.044,0.019,0.02,0.0,0.032,0.16,0.252,0.133,0.172,0.162
Daniel Hamilton,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.417,0.0,0.0,0.181
Daniel Theis,2018-19,0.268,0.0,0.143,0.232,0.039,0.074,0.057,0.176,0.0,0.0,0.0
Danilo Gallinari,2018-19,0.057,0.145,0.03,0.039,0.113,0.046,0.105,0.21,0.051,0.084,0.118
Danny Green,2018-19,0.0,0.017,0.044,0.023,0.022,0.054,0.278,0.356,0.019,0.134,0.048
Dante Cunningham,2018-19,0.0,0.0,0.149,0.207,0.0,0.059,0.08,0.447,0.0,0.0,0.0
Dante Exum,2018-19,0.0,0.09,0.0,0.0,0.0,0.051,0.168,0.213,0.051,0.0,0.384
Danuel House Jr.,2018-19,0.0,0.05,0.0,0.0,0.0,0.044,0.243,0.483,0.035,0.038,0.041
Dario Saric,2018-19,0.127,0.019,0.058,0.105,0.076,0.045,0.216,0.345,0.018,0.039,0.0
Darius Miller,2018-19,0.0,0.027,0.0,0.0,0.0,0.044,0.159,0.346,0.09,0.187,0.133
Darren Collison,2018-19,0.0,0.075,0.012,0.028,0.0,0.07,0.219,0.166,0.053,0.02,0.359
Daryl Macon,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389
David Nwaba,2018-19,0.0,0.066,0.057,0.106,0.0,0.045,0.278,0.36,0.0,0.0,0.039
Davis Bertans,2018-19,0.019,0.0,0.0,0.042,0.0,0.046,0.181,0.554,0.039,0.077,0.019
De'Aaron Fox,2018-19,0.0,0.097,0.011,0.013,0.0,0.06,0.281,0.082,0.033,0.015,0.406
De'Anthony Melton,2018-19,0.0,0.0,0.032,0.032,0.0,0.085,0.239,0.222,0.0,0.0,0.321
DeAndre Jordan,2018-19,0.185,0.0,0.21,0.21,0.138,0.169,0.072,0.0,0.0,0.0,0.0
DeAndre' Bembry,2018-19,0.0,0.027,0.035,0.081,0.0,0.057,0.224,0.258,0.092,0.019,0.205
DeMar DeRozan,2018-19,0.0,0.187,0.015,0.03,0.1,0.03,0.097,0.077,0.04,0.057,0.365
DeMarcus Cousins,2018-19,0.088,0.034,0.062,0.124,0.219,0.06,0.141,0.243,0.0,0.02,0.0
DeMarre Carroll,2018-19,0.02,0.034,0.045,0.041,0.0,0.055,0.252,0.405,0.028,0.069,0.05
Deandre Ayton,2018-19,0.211,0.027,0.135,0.158,0.285,0.067,0.062,0.041,0.0,0.0,0.0
Delon Wright,2018-19,0.0,0.042,0.032,0.038,0.0,0.045,0.179,0.145,0.034,0.0,0.341
Deng Adel,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.0,0.0,0.0
Dennis Schroder,2018-19,0.007,0.114,0.0,0.01,0.0,0.041,0.188,0.162,0.025,0.019,0.427
Dennis Smith Jr.,2018-19,0.0,0.091,0.0,0.047,0.0,0.068,0.183,0.117,0.049,0.063,0.333
Derrick Favors,2018-19,0.27,0.0,0.166,0.243,0.037,0.072,0.063,0.14,0.0,0.0,0.0
Derrick Jones Jr.,2018-19,0.057,0.0,0.161,0.209,0.0,0.064,0.171,0.303,0.0,0.0,0.0
Derrick Rose,2018-19,0.0,0.125,0.016,0.039,0.0,0.028,0.168,0.121,0.043,0.024,0.432
Derrick White,2018-19,0.0,0.045,0.019,0.037,0.0,0.052,0.135,0.28,0.055,0.024,0.347
Devin Booker,2018-19,0.0,0.125,0.011,0.028,0.04,0.047,0.197,0.068,0.049,0.088,0.345
Devin Harris,2018-19,0.0,0.0,0.0,0.046,0.0,0.061,0.17,0.344,0.041,0.102,0.192
Devin Robinson,2018-19,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devonte' Graham,2018-19,0.0,0.12,0.0,0.0,0.0,0.06,0.18,0.218,0.038,0.053,0.297
Dewayne Dedmon,2018-19,0.213,0.0,0.11,0.153,0.029,0.095,0.119,0.252,0.0,0.0,0.0
Dillon Brooks,2018-19,0.0,0.0,0.0,0.084,0.0,0.0,0.135,0.297,0.071,0.097,0.187
Dion Waiters,2018-19,0.0,0.157,0.0,0.0,0.0,0.044,0.11,0.288,0.116,0.06,0.201
Dirk Nowitzki,2018-19,0.165,0.027,0.0,0.0,0.202,0.027,0.112,0.377,0.0,0.056,0.0
Domantas Sabonis,2018-19,0.304,0.0,0.126,0.184,0.157,0.099,0.051,0.067,0.0,0.0,0.0
Donovan Mitchell,2018-19,0.0,0.081,0.018,0.017,0.0,0.049,0.131,0.12,0.083,0.049,0.445
Donte DiVincenzo,2018-19,0.0,0.0,0.0,0.088,0.0,0.0,0.25,0.311,0.068,0.101,0.081
Dorian Finney-Smith,2018-19,0.015,0.029,0.125,0.1,0.0,0.051,0.159,0.357,0.029,0.057,0.065
Doug McDermott,2018-19,0.0,0.0,0.02,0.152,0.0,0.035,0.118,0.303,0.136,0.213,0.0
Dragan Bender,2018-19,0.196,0.0,0.078,0.118,0.051,0.078,0.106,0.337,0.0,0.0,0.0
Draymond Green,2018-19,0.073,0.026,0.032,0.14,0.056,0.15,0.201,0.276,0.0,0.0,0.027
Duncan Robinson,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.327,0.0,0.0,0.0
Dwayne Bacon,2018-19,0.0,0.108,0.0,0.0,0.0,0.0,0.22,0.294,0.088,0.051,0.166
Dwight Howard,2018-19,0.16,0.0,0.179,0.198,0.189,0.104,0.0,0.0,0.0,0.0,0.0
Dwight Powell,2018-19,0.252,0.015,0.071,0.261,0.021,0.081,0.067,0.205,0.0,0.017,0.0
Dwyane Wade,2018-19,0.0,0.087,0.033,0.058,0.073,0.055,0.127,0.104,0.066,0.041,0.348
E'Twaun Moore,2018-19,0.016,0.034,0.031,0.062,0.0,0.037,0.224,0.211,0.091,0.159,0.128
Ed Davis,2018-19,0.226,0.0,0.314,0.282,0.0,0.118,0.041,0.0,0.0,0.0,0.0
Elfrid Payton,2018-19,0.0,0.049,0.043,0.063,0.0,0.079,0.209,0.192,0.058,0.0,0.297
Elie Okobo,2018-19,0.0,0.069,0.0,0.032,0.0,0.063,0.138,0.212,0.058,0.0,0.397
Emmanuel Mudiay,2018-19,0.0,0.079,0.023,0.024,0.028,0.043,0.18,0.166,0.089,0.021,0.341
Enes Kanter,2018-19,0.142,0.022,0.255,0.16,0.28,0.06,0.043,0.046,0.0,0.0,0.0
Eric Bledsoe,2018-19,0.0,0.077,0.028,0.027,0.01,0.048,0.292,0.189,0.036,0.032,0.259
Eric Gordon,2018-19,0.017,0.073,0.0,0.028,0.0,0.032,0.206,0.324,0.072,0.071,0.171
Ersan Ilyasova,2018-19,0.122,0.0,0.139,0.139,0.037,0.078,0.137,0.283,0.024,0.03,0.0
Evan Fournier,2018-19,0.0,0.042,0.019,0.033,0.0,0.043,0.109,0.188,0.121,0.14,0.301
Evan Turner,2018-19,0.0,0.082,0.03,0.068,0.198,0.085,0.118,0.155,0.05,0.0,0.195
Frank Jackson,2018-19,0.0,0.036,0.023,0.072,0.0,0.04,0.224,0.285,0.08,0.082,0.152
Frank Kaminsky,2018-19,0.258,0.0,0.052,0.086,0.065,0.057,0.078,0.346,0.0,0.0,0.0
Frank Mason,2018-19,0.0,0.069,0.0,0.043,0.0,0.091,0.273,0.117,0.0,0.0,0.377
Frank Ntilikina,2018-19,0.0,0.06,0.0,0.0,0.0,0.057,0.114,0.256,0.111,0.0,0.338
Fred VanVleet,2018-19,0.0,0.078,0.0,0.023,0.0,0.051,0.199,0.212,0.036,0.045,0.348
Furkan Korkmaz,2018-19,0.0,0.0,0.038,0.035,0.0,0.076,0.194,0.399,0.115,0.063,0.066
Garrett Temple,2018-19,0.0,0.032,0.0,0.074,0.0,0.07,0.291,0.306,0.097,0.079,0.119
Gary Clark,2018-19,0.093,0.0,0.0,0.0,0.0,0.0,0.136,0.636,0.0,0.0,0.0
Gary Harris,2018-19,0.0,0.038,0.013,0.031,0.0,0.054,0.178,0.204,0.266,0.05,0.161
George Hill,2018-19,0.0,0.09,0.04,0.067,0.0,0.058,0.105,0.12,0.055,0.037,0.421
Gerald Green,2018-19,0.029,0.035,0.02,0.02,0.0,0.041,0.152,0.431,0.056,0.143,0.068
Giannis Antetokounmpo,2018-19,0.05,0.155,0.06,0.08,0.12,0.048,0.256,0.114,0.018,0.023,0.076
Glenn Robinson III,2018-19,0.0,0.0,0.0,0.136,0.0,0.0,0.22,0.402,0.093,0.0,0.047
Goran Dragic,2018-19,0.0,0.057,0.0,0.039,0.0,0.048,0.186,0.156,0.107,0.044,0.336
Gordon Hayward,2018-19,0.0,0.03,0.028,0.053,0.013,0.051,0.173,0.202,0.069,0.107,0.265
Gorgui Dieng,2018-19,0.241,0.044,0.093,0.114,0.083,0.093,0.066,0.261,0.0,0.0,0.0
Grayson Allen,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.307,0.097,0.08,0.282
Greg Monroe,2018-19,0.229,0.0,0.224,0.117,0.224,0.076,0.054,0.054,0.0,0.0,0.0
Hamidou Diallo,2018-19,0.0,0.0,0.135,0.13,0.0,0.0,0.303,0.264,0.0,0.0,0.072
Harrison Barnes,2018-19,0.032,0.088,0.034,0.029,0.191,0.042,0.095,0.233,0.019,0.05,0.088
Harry Giles III,2018-19,0.204,0.1,0.115,0.107,0.233,0.074,0.093,0.065,0.0,0.0,0.0
Hassan Whiteside,2018-19,0.208,0.015,0.258,0.153,0.157,0.104,0.068,0.036,0.0,0.0,0.0
Henry Ellenson,2018-19,0.0,0.0,0.0,0.0,0.154,0.0,0.144,0.433,0.0,0.0,0.0
Ian Clark,2018-19,0.0,0.0,0.0,0.042,0.0,0.053,0.203,0.258,0.082,0.132,0.196
Ian Mahinmi,2018-19,0.181,0.0,0.219,0.232,0.0,0.135,0.065,0.097,0.0,0.0,0.0
Iman Shumpert,2018-19,0.0,0.067,0.0,0.04,0.0,0.047,0.195,0.487,0.047,0.057,0.136
Isaiah Briscoe,2018-19,0.0,0.083,0.0,0.0,0.0,0.055,0.127,0.232,0.0,0.0,0.409
Isaiah Canaan,2018-19,0.0,0.098,0.0,0.0,0.0,0.0,0.153,0.286,0.0,0.0,0.286
Isaiah Thomas,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.155,0.124,0.0,0.341
Ish Smith,2018-19,0.0,0.067,0.0,0.0,0.0,0.048,0.162,0.173,0.04,0.0,0.485
Ivan Rabb,2018-19,0.183,0.043,0.14,0.215,0.129,0.079,0.082,0.122,0.0,0.0,0.0
Ivica Zubac,2018-19,0.226,0.0,0.206,0.222,0.147,0.087,0.058,0.0,0.0,0.0,0.0
J.J. Barea,2018-19,0.0,0.074,0.0,0.0,0.0,0.061,0.072,0.088,0.117,0.022,0.542
JJ Redick,2018-19,0.027,0.0,0.0,0.038,0.0,0.054,0.137,0.156,0.324,0.153,0.1
JR Smith,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.179,0.147,0.158,0.189
JaKarr Sampson,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0
JaMychal Green,2018-19,0.123,0.024,0.138,0.056,0.097,0.062,0.088,0.338,0.0,0.0,0.0
JaVale McGee,2018-19,0.194,0.028,0.159,0.265,0.089,0.088,0.124,0.045,0.0,0.0,0.0
Jabari Parker,2018-19,0.064,0.09,0.041,0.067,0.106,0.062,0.227,0.227,0.049,0.024,0.08
Jae Crowder,2018-19,0.03,0.01,0.034,0.059,0.0,0.055,0.189,0.439,0.069,0.066,0.039
Jahlil Okafor,2018-19,0.156,0.098,0.127,0.138,0.241,0.051,0.131,0.047,0.0,0.0,0.0
Jake Layman,2018-19,0.0,0.0,0.056,0.159,0.03,0.038,0.143,0.323,0.054,0.117,0.052
Jakob Poeltl,2018-19,0.206,0.0,0.266,0.256,0.087,0.092,0.053,0.032,0.0,0.0,0.0
Jalen Brunson,2018-19,0.0,0.07,0.0,0.021,0.023,0.065,0.172,0.219,0.082,0.048,0.28
Jalen Jones,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.446,0.0,0.0,0.0
Jamal Crawford,2018-19,0.0,0.126,0.0,0.0,0.0,0.06,0.107,0.155,0.022,0.021,0.495
Jamal Murray,2018-19,0.02,0.078,0.022,0.052,0.0,0.052,0.128,0.112,0.154,0.071,0.306
James Ennis III,2018-19,0.05,0.0,0.143,0.095,0.0,0.038,0.248,0.314,0.0,0.0,0.0
James Harden,2018-19,0.0,0.487,0.01,0.014,0.009,0.046,0.133,0.032,0.036,0.009,0.221
James Johnson,2018-19,0.068,0.126,0.029,0.074,0.027,0.08,0.101,0.309,0.037,0.0,0.146
James Nunnally,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846,0.0,0.0,0.0
Jared Dudley,2018-19,0.125,0.0,0.05,0.046,0.0,0.073,0.162,0.508,0.0,0.0,0.0
Jaren Jackson Jr.,2018-19,0.113,0.107,0.067,0.12,0.248,0.06,0.085,0.187,0.0,0.0,0.0
Jaron Blossomgame,2018-19,0.081,0.0,0.163,0.171,0.0,0.0,0.146,0.317,0.0,0.0,0.0
Jarrett Allen,2018-19,0.368,0.0,0.146,0.262,0.0,0.094,0.061,0.059,0.0,0.0,0.0
Jason Smith,2018-19,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Adams,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.299,0.088,0.0,0.314
Jaylen Brown,2018-19,0.0,0.03,0.043,0.054,0.081,0.031,0.297,0.321,0.048,0.032,0.059
Jayson Tatum,2018-19,0.022,0.128,0.027,0.054,0.081,0.036,0.193,0.182,0.057,0.07,0.15
Jeff Green,2018-19,0.126,0.041,0.045,0.078,0.088,0.07,0.16,0.331,0.019,0.016,0.026
Jeff Teague,2018-19,0.0,0.135,0.0,0.0,0.0,0.073,0.166,0.123,0.026,0.0,0.448
Jemerrio Jones,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.0,0.0
Jerami Grant,2018-19,0.155,0.022,0.045,0.106,0.074,0.037,0.185,0.354,0.0,0.0,0.0
Jeremy Lamb,2018-19,0.0,0.11,0.038,0.034,0.0,0.034,0.148,0.219,0.075,0.089,0.244
Jeremy Lin,2018-19,0.0,0.06,0.0,0.0,0.0,0.055,0.286,0.196,0.05,0.0,0.302
Jerian Grant,2018-19,0.0,0.08,0.0,0.0,0.0,0.084,0.091,0.311,0.063,0.0,0.329
Jerryd Bayless,2018-19,0.0,0.088,0.0,0.0,0.0,0.062,0.102,0.263,0.047,0.0,0.412
Jevon Carter,2018-19,0.0,0.091,0.0,0.0,0.0,0.048,0.204,0.239,0.043,0.0,0.313
Jimmer Fredette,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405
Jimmy Butler,2018-19,0.0,0.106,0.05,0.06,0.072,0.046,0.156,0.126,0.084,0.044,0.357
Joakim Noah,2018-19,0.284,0.066,0.117,0.211,0.076,0.082,0.088,0.073,0.0,0.0,0.0
Jodie Meeks,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425,0.0,0.0,0.0
Joe Harris,2018-19,0.019,0.0,0.028,0.043,0.0,0.061,0.121,0.296,0.091,0.301,0.032
Joe Ingles,2018-19,0.0,0.032,0.01,0.0,0.0,0.056,0.11,0.224,0.121,0.116,0.313
Joel Embiid,2018-19,0.076,0.064,0.07,0.088,0.299,0.081,0.1,0.155,0.009,0.027,0.03
John Collins,2018-19,0.189,0.023,0.145,0.164,0.106,0.068,0.112,0.171,0.01,0.0,0.0
John Henson,2018-19,0.238,0.0,0.119,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0
John Jenkins,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.347,0.0,0.246,0.169
John Wall,2018-19,0.0,0.238,0.0,0.0,0.017,0.047,0.205,0.14,0.0,0.0,0.326
Johnathan Williams,2018-19,0.223,0.0,0.223,0.209,0.0,0.074,0.162,0.0,0.0,0.0,0.0
Jon Leuer,2018-19,0.145,0.0,0.09,0.221,0.124,0.124,0.124,0.138,0.0,0.0,0.0
Jonah Bolden,2018-19,0.113,0.0,0.085,0.099,0.0,0.122,0.178,0.362,0.0,0.0,0.0
Jonas Jerebko,2018-19,0.067,0.0,0.083,0.09,0.025,0.079,0.169,0.403,0.0,0.067,0.0
Jonas Valanciunas,2018-19,0.165,0.045,0.129,0.139,0.167,0.088,0.035,0.058,0.0,0.0,0.0
Jonathan Isaac,2018-19,0.032,0.031,0.096,0.103,0.029,0.061,0.138,0.419,0.037,0.017,0.036
Jonathon Simmons,2018-19,0.0,0.083,0.027,0.04,0.027,0.054,0.163,0.186,0.086,0.0,0.279
Jordan Bell,2018-19,0.157,0.079,0.079,0.24,0.047,0.114,0.142,0.134,0.0,0.0,0.0
Jordan Clarkson,2018-19,0.0,0.135,0.033,0.036,0.019,0.035,0.122,0.14,0.095,0.072,0.306
Jordan McRae,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.27,0.0,0.0,0.296
Jose Calderon,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.255,0.124,0.0,0.441
Josh Hart,2018-19,0.0,0.0,0.024,0.051,0.0,0.054,0.331,0.306,0.045,0.118,0.054
Josh Jackson,2018-19,0.0,0.053,0.037,0.041,0.012,0.041,0.182,0.298,0.056,0.04,0.235
Josh Okogie,2018-19,0.0,0.028,0.04,0.068,0.0,0.05,0.283,0.387,0.056,0.02,0.067
Josh Richardson,2018-19,0.0,0.024,0.018,0.039,0.011,0.048,0.113,0.223,0.141,0.059,0.318
Jrue Holiday,2018-19,0.0,0.115,0.022,0.037,0.018,0.044,0.164,0.114,0.085,0.037,0.359
Juancho Hernangomez,2018-19,0.036,0.0,0.109,0.109,0.036,0.052,0.134,0.393,0.065,0.041,0.0
Julian Washburn,2018-19,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.386,0.0,0.0,0.0
Julius Randle,2018-19,0.067,0.122,0.086,0.092,0.163,0.064,0.175,0.169,0.011,0.023,0.028
Justin Holiday,2018-19,0.0,0.026,0.033,0.046,0.0,0.056,0.194,0.332,0.089,0.141,0.05
Justin Jackson,2018-19,0.0,0.0,0.044,0.038,0.0,0.032,0.139,0.423,0.077,0.082,0.072
Justise Winslow,2018-19,0.0,0.037,0.027,0.042,0.01,0.055,0.162,0.29,0.057,0.012,0.304
Jusuf Nurkic,2018-19,0.246,0.01,0.161,0.15,0.217,0.107,0.043,0.066,0.0,0.0,0.0
Kadeem Allen,2018-19,0.0,0.068,0.0,0.0,0.0,0.063,0.157,0.236,0.0,0.0,0.366
Karl-Anthony Towns,2018-19,0.142,0.084,0.112,0.041,0.302,0.068,0.069,0.143,0.0,0.033,0.0
Kawhi Leonard,2018-19,0.0,0.165,0.027,0.024,0.094,0.043,0.178,0.111,0.044,0.041,0.268
Keita Bates-Diop,2018-19,0.0,0.0,0.077,0.124,0.0,0.089,0.225,0.29,0.071,0.0,0.071
Kelly Olynyk,2018-19,0.156,0.024,0.043,0.081,0.076,0.113,0.104,0.288,0.064,0.029,0.023
Kelly Oubre Jr.,2018-19,0.0,0.035,0.059,0.038,0.0,0.041,0.249,0.314,0.073,0.084,0.092
Kemba Walker,2018-19,0.0,0.082,0.008,0.008,0.0,0.033,0.159,0.094,0.078,0.067,0.468
Kenneth Faried,2018-19,0.24,0.0,0.195,0.226,0.0,0.098,0.125,0.084,0.0,0.0,0.0
Kenrich Williams,2018-19,0.0,0.0,0.05,0.062,0.0,0.053,0.258,0.401,0.0,0.071,0.056
Kent Bazemore,2018-19,0.0,0.025,0.019,0.03,0.0,0.062,0.202,0.223,0.142,0.037,0.255
Kentavious Caldwell-Pope,2018-19,0.03,0.025,0.019,0.034,0.0,0.051,0.24,0.262,0.054,0.187,0.093
Kevin Durant,2018-19,0.021,0.156,0.012,0.04,0.106,0.049,0.211,0.088,0.037,0.089,0.19
Kevin Huerter,2018-19,0.0,0.03,0.028,0.039,0.0,0.041,0.214,0.242,0.119,0.052,0.23
Kevin Knox,2018-19,0.019,0.044,0.039,0.024,0.016,0.036,0.16,0.291,0.1,0.073,0.198
Kevin Love,2018-19,0.078,0.043,0.056,0.059,0.188,0.088,0.11,0.198,0.038,0.126,0.0
Kevon Looney,2018-19,0.084,0.025,0.226,0.391,0.0,0.099,0.077,0.072,0.0,0.0,0.0
Khem Birch,2018-19,0.284,0.0,0.227,0.199,0.0,0.1,0.085,0.0,0.0,0.0,0.0
Khris Middleton,2018-19,0.013,0.158,0.016,0.018,0.091,0.03,0.213,0.123,0.051,0.092,0.196
Klay Thompson,2018-19,0.011,0.046,0.015,0.075,0.052,0.034,0.182,0.134,0.071,0.342,0.04
Kosta Koufos,2018-19,0.28,0.0,0.127,0.238,0.111,0.127,0.069,0.0,0.0,0.0,0.0
Kris Dunn,2018-19,0.0,0.061,0.0,0.0,0.025,0.047,0.115,0.166,0.035,0.0,0.52
Kyle Anderson,2018-19,0.0,0.056,0.083,0.172,0.0,0.086,0.217,0.161,0.047,0.0,0.119
Kyle Korver,2018-19,0.0,0.0,0.0,0.0,0.0,0.153,0.113,0.235,0.163,0.286,0.071
Kyle Kuzma,2018-19,0.067,0.064,0.027,0.077,0.069,0.045,0.231,0.223,0.023,0.083,0.091
Kyle Lowry,2018-19,0.01,0.076,0.011,0.033,0.0,0.075,0.231,0.16,0.075,0.081,0.241
Kyrie Irving,2018-19,0.0,0.132,0.019,0.034,0.017,0.044,0.171,0.095,0.089,0.101,0.294
LaMarcus Aldridge,2018-19,0.194,0.032,0.102,0.079,0.427,0.043,0.04,0.069,0.0,0.013,0.0
Lance Stephenson,2018-19,0.0,0.127,0.033,0.033,0.0,0.047,0.163,0.241,0.022,0.034,0.289
